statusN,Expanding Mean 2 statusN,Expanding Mean 3 statusN,Expanding Mean 4 statusN,Expanding Mean 8 statusN,Expanding Mean 12 statusN,Expanding Mean 16 statusN,Expanding Mean 24 statusN,Expanding Mean 48 statusN,Expanding Mean 96 statusN
1.0,0.9957975646860628,0.9881182086544102,0.9787879587754138,0.934377472435335,0.903967101016349,0.8625738589891466,0.849403662464267,0.706457023841055,0.6406886437647396
0.9957975646860628,1.0,0.9912765245124547,0.9864091389100824,0.9443352382446065,0.9135712408498369,0.8734520800269758,0.8582669660707337,0.7160083093177673,0.649802575359039
0.9881182086544102,0.9912765245124547,1.0,0.9861888766879632,0.9512159519917234,0.9230181866855472,0.8832108291461817,0.866965489089299,0.7256988597605035,0.6592162342956053
0.9787879587754138,0.9864091389100824,0.9861888766879632,1.0,0.9634856264254885,0.931606892537391,0.8948566999005247,0.8747122906101902,0.734845758608996,0.6682152507892569
0.934377472435335,0.9443352382446065,0.9512159519917234,0.9634856264254885,1.0,0.9519495472978221,0.9366580853778703,0.9064042447035908,0.770422414833805,0.7013255650091103
0.903967101016349,0.9135712408498369,0.9230181866855472,0.931606892537391,0.9519495472978221,1.0,0.9313459370705747,0.9359561595780974,0.8088556917360179,0.7349592003362823
0.8625738589891466,0.8734520800269758,0.8832108291461817,0.8948566999005247,0.9366580853778703,0.9313459370705747,1.0,0.9121673833615339,0.8321926340175803,0.7607691040024857
0.849403662464267,0.8582669660707337,0.866965489089299,0.8747122906101902,0.9064042447035908,0.9359561595780974,0.9121673833615339,1.0,0.8679622410418735,0.7901936359884627
0.706457023841055,0.7160083093177673,0.7256988597605035,0.734845758608996,0.770422414833805,0.8088556917360179,0.8321926340175803,0.8679622410418735,1.0,0.9111823196047151
0.6406886437647396,0.649802575359039,0.6592162342956053,0.6682152507892569,0.7013255650091103,0.7349592003362823,0.7607691040024857,0.7901936359884627,0.9111823196047151,1.0
