statusS,Expanding Mean 2 statusS,Expanding Mean 3 statusS,Expanding Mean 4 statusS,Expanding Mean 8 statusS,Expanding Mean 12 statusS,Expanding Mean 16 statusS,Expanding Mean 24 statusS,Expanding Mean 48 statusS,Expanding Mean 96 statusS
1.0,0.9979533454845774,0.9937288271539709,0.9878491591465007,0.9595675561733505,0.9242478416854482,0.8934152306146291,0.8359057565318583,0.6737139485348866,0.5235628336682663
0.9979533454845774,1.0,0.9952517769010448,0.9914280069022409,0.9646471343141514,0.9301965286120937,0.9002167359493597,0.8424362459867711,0.6796248289073911,0.5288749500113809
0.9937288271539709,0.9952517769010448,1.0,0.9905146578917191,0.9683599016067466,0.9375143554201067,0.9069015312174226,0.8501608072643905,0.6874641376452648,0.5362941913746858
0.9878491591465007,0.9914280069022409,0.9905146578917191,1.0,0.9772651661634518,0.9452515574883311,0.916145754754778,0.859413128000023,0.6952682492762384,0.5434330984202743
0.9595675561733505,0.9646471343141514,0.9683599016067466,0.9772651661634518,1.0,0.9610726493892906,0.9457713862510877,0.8875325983064178,0.7224217065727031,0.5665922983241938
0.9242478416854482,0.9301965286120937,0.9375143554201067,0.9452515574883311,0.9610726493892906,1.0,0.9420945365936136,0.9190391654857667,0.7477036489807717,0.5894744061055108
0.8934152306146291,0.9002167359493597,0.9069015312174226,0.916145754754778,0.9457713862510877,0.9420945365936136,1.0,0.9134150009405427,0.7769115001672837,0.6153862172817003
0.8359057565318583,0.8424362459867711,0.8501608072643905,0.859413128000023,0.8875325983064178,0.9190391654857667,0.9134150009405427,1.0,0.82826965227926,0.6647995079471347
0.6737139485348866,0.6796248289073911,0.6874641376452648,0.6952682492762384,0.7224217065727031,0.7477036489807717,0.7769115001672837,0.82826965227926,1.0,0.817205626151557
0.5235628336682663,0.5288749500113809,0.5362941913746858,0.5434330984202743,0.5665922983241938,0.5894744061055108,0.6153862172817003,0.6647995079471347,0.817205626151557,1.0
